"provincia"	"estacion"	"media"	"ene"	"feb"	"mar"	"abr"	"may"	"jun"	"jul"	"ago"	"sep"	"oct"	"nov"	"dic"
"Misiones"	"IGUAZÚ AERO"	"Temperatura (°C)"	"25.6"	"24.9"	"24.2"	"21.4"	"17.6"	"15.9"	"15.7"	"17.6"	"19.1"	"21.9"	"23.5"	"25.0"
"Misiones"	"IGUAZÚ AERO"	"Temperatura máxima (°C)"	"31.8"	"31.2"	"30.7"	"27.5"	"23.5"	"21.7"	"22.2"	"24.7"	"25.8"	"28.3"	"30.1"	"31.4"
"Misiones"	"IGUAZÚ AERO"	"Temperatura mínima (°C)"	"20.5"	"20.2"	"19.3"	"16.8"	"13.1"	"11.7"	"10.8"	"12.2"	"13.7"	"16.5"	"17.8"	"19.5"
"Misiones"	"IGUAZÚ AERO"	"Humedad relativa (%)"	"78.1"	"80.4"	"79.7"	"83.7"	"86.5"	"88.1"	"83.6"	"78.5"	"76.4"	"77.3"	"74.9"	"75.7"
"Misiones"	"IGUAZÚ AERO"	"Velocidad del Viento (km/h)"	"6.4"	"6.3"	"5.3"	"6.1"	"6.4"	"6.2"	"7.4"	"8.4"	"8.8"	"7.4"	"7.5"	"6.6"
"Misiones"	"IGUAZÚ AERO"	"Nubosidad total (octavos)"	"4.2"	"4.3"	"3.6"	"3.7"	"3.6"	"4.0"	"3.4"	"3.5"	"4.0"	"4.1"	"3.7"	"3.9"
"Misiones"	"IGUAZÚ AERO"	"Precipitación (mm)"	"177.7"	"154.7"	"126.5"	"169.1"	"192.7"	"148.3"	"115.8"	"94.2"	"160.3"	"237.0"	"186.3"	"186.9"
"Misiones"	"IGUAZÚ AERO"	"Frecuencia de días con Precipitación superior a 0.1 mm"	"10.3"	"10.2"	"8.1"	"8.9"	"8.8"	"8.6"	"8.3"	"6.8"	"9.6"	"11.6"	"9.4"	"9.9"
"Tucuman"	"TUCUMÁN AERO"	"Temperatura (°C)"	"25.2"	"24.0"	"22.6"	"19.2"	"15.7"	"12.7"	"12.2"	"14.9"	"17.8"	"21.8"	"23.4"	"24.9"
"Tucuman"	"TUCUMÁN AERO"	"Temperatura máxima (°C)"	"31.0"	"29.7"	"27.9"	"24.6"	"21.2"	"18.6"	"19.3"	"22.8"	"25.4"	"28.9"	"29.9"	"30.8"
"Tucuman"	"TUCUMÁN AERO"	"Temperatura mínima (°C)"	"20.1"	"19.3"	"18.5"	"15.1"	"11.4"	"8.2"	"6.8"	"8.5"	"11.0"	"15.2"	"17.5"	"19.3"
"Tucuman"	"TUCUMÁN AERO"	"Humedad relativa (%)"	"74.2"	"76.8"	"81.0"	"81.2"	"80.3"	"78.9"	"70.9"	"62.1"	"58.4"	"61.5"	"67.1"	"70.8"
"Tucuman"	"TUCUMÁN AERO"	"Velocidad del Viento (km/h)"	"11.6"	"11.3"	"10.0"	"9.6"	"9.4"	"9.7"	"10.7"	"11.2"	"11.8"	"12.2"	"12.0"	"11.1"
"Tucuman"	"TUCUMÁN AERO"	"Nubosidad total (octavos)"	"5.0"	"5.1"	"5.2"	"5.1"	"4.7"	"4.6"	"3.4"	"3.3"	"3.5"	"4.2"	"4.7"	"4.8"
"Tucuman"	"TUCUMÁN AERO"	"Precipitación (mm)"	"230.6"	"172.3"	"151.1"	"62.5"	"25.9"	"13.1"	"7.4"	"8.5"	"16.1"	"65.1"	"103.0"	"175.9"
"Tucuman"	"TUCUMÁN AERO"	"Frecuencia de días con Precipitación superior a 0.1 mm"	"13.7"	"11.5"	"12.9"	"9.6"	"6.9"	"5.2"	"3.3"	"2.1"	"3.3"	"7.3"	"10.8"	"12.1"
"Corrientes"	"CORRIENTES AERO"	"Temperatura (°C)"	"27.0"	"26.0"	"24.7"	"21.4"	"18.0"	"15.9"	"15.2"	"17.0"	"18.5"	"21.8"	"23.7"	"25.8"
"Corrientes"	"CORRIENTES AERO"	"Temperatura máxima (°C)"	"33.2"	"31.9"	"30.6"	"26.8"	"23.4"	"21.0"	"21.1"	"23.4"	"24.9"	"27.9"	"29.5"	"31.9"
"Corrientes"	"CORRIENTES AERO"	"Temperatura mínima (°C)"	"21.3"	"20.8"	"19.7"	"16.9"	"13.4"	"11.6"	"10.4"	"11.5"	"13.1"	"16.3"	"17.9"	"20.1"
"Corrientes"	"CORRIENTES AERO"	"Humedad relativa (%)"	"70.7"	"74.6"	"77.7"	"80.2"	"80.0"	"81.2"	"76.5"	"72.3"	"70.8"	"72.3"	"72.1"	"70.9"
"Corrientes"	"CORRIENTES AERO"	"Velocidad del Viento (km/h)"	"11.9"	"12.2"	"11.8"	"11.9"	"11.9"	"12.1"	"13.4"	"14.6"	"15.5"	"15.7"	"14.1"	"12.5"
"Corrientes"	"CORRIENTES AERO"	"Nubosidad total (octavos)"	"3.6"	"3.6"	"3.3"	"3.9"	"3.6"	"4.3"	"3.5"	"3.5"	"3.6"	"3.5"	"3.3"	"3.5"
"Corrientes"	"CORRIENTES AERO"	"Precipitación (mm)"	"167.3"	"161.9"	"175.1"	"206.6"	"91.9"	"70.5"	"37.5"	"47.2"	"75.7"	"150.7"	"184.3"	"157.7"
"Corrientes"	"CORRIENTES AERO"	"Frecuencia de días con Precipitación superior a 0.1 mm"	"8.5"	"9.4"	"8.6"	"10.2"	"7.5"	"8.4"	"6.1"	"5.7"	"8.1"	"10.4"	"10.0"	"9.3"
"San Juan"	"SAN JUAN AERO"	"Temperatura (°C)"	"27.1"	"25.5"	"22.8"	"17.2"	"12.2"	"8.3"	"7.7"	"10.6"	"14.4"	"19.8"	"23.4"	"26.3"
"San Juan"	"SAN JUAN AERO"	"Temperatura máxima (°C)"	"34.9"	"33.4"	"30.3"	"25.2"	"20.5"	"16.9"	"16.5"	"19.9"	"23.2"	"28.1"	"31.6"	"34.2"
"San Juan"	"SAN JUAN AERO"	"Temperatura mínima (°C)"	"19.5"	"18.2"	"16.2"	"10.7"	"5.8"	"1.5"	"0.7"	"2.9"	"6.5"	"11.4"	"14.8"	"18.0"
"San Juan"	"SAN JUAN AERO"	"Humedad relativa (%)"	"44.3"	"47.1"	"54.5"	"57.9"	"61.4"	"62.5"	"57.8"	"48.2"	"43.8"	"39.6"	"38.9"	"40.1"
"San Juan"	"SAN JUAN AERO"	"Velocidad del Viento (km/h)"	"15.5"	"13.9"	"12.9"	"10.6"	"9.3"	"9.3"	"10.3"	"11.6"	"12.6"	"14.8"	"16.0"	"16.1"
"San Juan"	"SAN JUAN AERO"	"Nubosidad total (octavos)"	"2.8"	"2.7"	"2.8"	"2.5"	"2.9"	"2.9"	"2.5"	"2.3"	"2.5"	"2.3"	"2.3"	"2.5"
"San Juan"	"SAN JUAN AERO"	"Precipitación (mm)"	"15.7"	"18.9"	"11.2"	"4.4"	"4.4"	"1.6"	"3.5"	"3.2"	"5.6"	"3.6"	"7.0"	"11.6"
"San Juan"	"SAN JUAN AERO"	"Frecuencia de días con Precipitación superior a 0.1 mm"	"3.5"	"2.9"	"2.5"	"1.3"	"1.2"	"0.5"	"1.1"	"0.9"	"1.8"	"1.1"	"1.6"	"2.3"
"Entre Rios"	"GUALEGUAYCHÚ AERO"	"Temperatura (°C)"	"25.1"	"23.7"	"22.0"	"17.8"	"14.2"	"11.3"	"10.7"	"12.8"	"14.7"	"18.0"	"20.9"	"23.4"
"Entre Rios"	"GUALEGUAYCHÚ AERO"	"Temperatura máxima (°C)"	"31.6"	"29.8"	"28.2"	"23.9"	"20.2"	"17.1"	"16.7"	"19.2"	"20.6"	"24.0"	"27.0"	"29.9"
"Entre Rios"	"GUALEGUAYCHÚ AERO"	"Temperatura mínima (°C)"	"18.8"	"18.0"	"16.5"	"12.6"	"9.3"	"6.7"	"6.0"	"7.4"	"9.0"	"12.1"	"14.7"	"17.0"
"Entre Rios"	"GUALEGUAYCHÚ AERO"	"Humedad relativa (%)"	"65.1"	"71.6"	"74.3"	"78.8"	"80.7"	"82.5"	"80.3"	"75.9"	"72.9"	"71.9"	"68.9"	"65.4"
"Entre Rios"	"GUALEGUAYCHÚ AERO"	"Velocidad del Viento (km/h)"	"9.2"	"8.1"	"7.9"	"7.6"	"8.1"	"8.6"	"9.6"	"10.5"	"11.5"	"11.3"	"11.7"	"10.4"
"Entre Rios"	"GUALEGUAYCHÚ AERO"	"Nubosidad total (octavos)"	"3.1"	"3.3"	"3.1"	"3.4"	"3.7"	"4.1"	"3.7"	"3.6"	"3.5"	"3.5"	"3.3"	"3.2"
"Entre Rios"	"GUALEGUAYCHÚ AERO"	"Precipitación (mm)"	"109.6"	"102.5"	"131.6"	"113.9"	"82.7"	"56.0"	"50.6"	"54.4"	"71.0"	"110.1"	"119.9"	"116.5"
"Entre Rios"	"GUALEGUAYCHÚ AERO"	"Frecuencia de días con Precipitación superior a 0.1 mm"	"7.6"	"7.6"	"8.1"	"8.7"	"6.6"	"6.5"	"6.1"	"5.8"	"6.9"	"9.2"	"8.3"	"8.6"
"Mendoza"	"SAN RAFAEL AERO"	"Temperatura (°C)"	"23.3"	"22.0"	"19.3"	"14.5"	"10.5"	"7.7"	"6.9"	"9.0"	"11.8"	"16.3"	"19.6"	"22.4"
"Mendoza"	"SAN RAFAEL AERO"	"Temperatura máxima (°C)"	"31.1"	"30.0"	"27.0"	"22.5"	"18.5"	"15.8"	"15.2"	"17.6"	"19.8"	"24.2"	"27.5"	"30.2"
"Mendoza"	"SAN RAFAEL AERO"	"Temperatura mínima (°C)"	"15.4"	"14.5"	"12.8"	"8.4"	"4.8"	"2.0"	"0.9"	"2.4"	"4.7"	"8.3"	"11.2"	"14.0"
"Mendoza"	"SAN RAFAEL AERO"	"Humedad relativa (%)"	"53.6"	"56.8"	"63.6"	"66.9"	"68.0"	"66.1"	"63.4"	"57.2"	"55.8"	"51.9"	"50.2"	"50.7"
"Mendoza"	"SAN RAFAEL AERO"	"Velocidad del Viento (km/h)"	"S/D"	"S/D"	"S/D"	"S/D"	"S/D"	"S/D"	"S/D"	"S/D"	"S/D"	"S/D"	"S/D"	"S/D"
"Mendoza"	"SAN RAFAEL AERO"	"Nubosidad total (octavos)"	"2.7"	"2.7"	"2.9"	"2.9"	"3.4"	"3.4"	"3.2"	"3.0"	"3.1"	"3.0"	"2.8"	"2.6"
"Mendoza"	"SAN RAFAEL AERO"	"Precipitación (mm)"	"61.0"	"42.8"	"37.2"	"26.1"	"15.6"	"9.1"	"13.2"	"16.0"	"27.4"	"30.5"	"38.6"	"45.3"
"Mendoza"	"SAN RAFAEL AERO"	"Frecuencia de días con Precipitación superior a 0.1 mm"	"7.5"	"6.1"	"5.3"	"4.1"	"3.7"	"2.9"	"2.8"	"3.3"	"4.7"	"4.7"	"5.7"	"6.7"
"Buenos Aires"	"JUNÍN AERO"	"Temperatura (°C)"	"23.0"	"21.7"	"19.7"	"15.8"	"12.4"	"9.3"	"8.6"	"10.7"	"12.9"	"16.3"	"19.4"	"22.0"
"Buenos Aires"	"JUNÍN AERO"	"Temperatura máxima (°C)"	"29.8"	"28.4"	"26.6"	"22.6"	"19.0"	"15.5"	"15.0"	"17.7"	"19.7"	"22.7"	"26.0"	"28.8"
"Buenos Aires"	"JUNÍN AERO"	"Temperatura mínima (°C)"	"16.6"	"15.8"	"14.2"	"10.4"	"7.2"	"4.5"	"3.6"	"4.8"	"6.7"	"10.1"	"12.8"	"15.2"
"Buenos Aires"	"JUNÍN AERO"	"Humedad relativa (%)"	"69.6"	"74.4"	"77.2"	"77.8"	"78.5"	"79.3"	"77.1"	"72.3"	"70.1"	"71.1"	"67.8"	"65.9"
"Buenos Aires"	"JUNÍN AERO"	"Velocidad del Viento (km/h)"	"11.6"	"9.9"	"10.6"	"9.7"	"10.1"	"10.2"	"11.4"	"13.1"	"14.5"	"15.2"	"15.5"	"13.4"
"Buenos Aires"	"JUNÍN AERO"	"Nubosidad total (octavos)"	"3.4"	"3.3"	"3.3"	"3.5"	"3.9"	"4.3"	"4.0"	"3.7"	"3.7"	"3.8"	"3.6"	"3.5"
"Buenos Aires"	"JUNÍN AERO"	"Precipitación (mm)"	"132.3"	"118.8"	"133.2"	"109.1"	"61.2"	"26.8"	"31.5"	"32.4"	"55.3"	"122.8"	"110.7"	"110.0"
"Buenos Aires"	"JUNÍN AERO"	"Frecuencia de días con Precipitación superior a 0.1 mm"	"8.2"	"7.8"	"9.0"	"7.6"	"5.3"	"4.4"	"4.8"	"4.5"	"5.9"	"9.9"	"9.2"	"8.6"
"La Pampa"	"SANTA ROSA AERO"	"Temperatura (°C)"	"23.6"	"22.1"	"19.5"	"14.9"	"11.0"	"7.9"	"7.2"	"9.5"	"12.1"	"15.9"	"19.4"	"22.5"
"La Pampa"	"SANTA ROSA AERO"	"Temperatura máxima (°C)"	"31.0"	"29.8"	"26.9"	"22.4"	"18.0"	"14.7"	"14.2"	"17.2"	"19.7"	"23.1"	"26.7"	"29.8"
"La Pampa"	"SANTA ROSA AERO"	"Temperatura mínima (°C)"	"16.4"	"15.1"	"13.4"	"9.2"	"5.7"	"3.0"	"2.0"	"3.4"	"5.7"	"9.2"	"12.2"	"15.1"
"La Pampa"	"SANTA ROSA AERO"	"Humedad relativa (%)"	"58.6"	"62.6"	"69.6"	"72.1"	"75.4"	"75.9"	"72.7"	"64.8"	"63.0"	"62.1"	"57.6"	"55.4"
"La Pampa"	"SANTA ROSA AERO"	"Velocidad del Viento (km/h)"	"S/D"	"S/D"	"S/D"	"S/D"	"S/D"	"S/D"	"S/D"	"S/D"	"S/D"	"S/D"	"S/D"	"S/D"
"La Pampa"	"SANTA ROSA AERO"	"Nubosidad total (octavos)"	"3.4"	"3.1"	"3.4"	"3.6"	"4.2"	"4.6"	"4.3"	"4.0"	"4.0"	"3.9"	"3.6"	"3.4"
"La Pampa"	"SANTA ROSA AERO"	"Precipitación (mm)"	"94.6"	"81.0"	"102.3"	"58.0"	"32.9"	"15.5"	"21.5"	"28.1"	"50.9"	"74.7"	"81.7"	"104.3"
"La Pampa"	"SANTA ROSA AERO"	"Frecuencia de días con Precipitación superior a 0.1 mm"	"9.1"	"6.8"	"8.0"	"6.0"	"5.1"	"4.3"	"4.3"	"3.7"	"5.7"	"8.5"	"7.8"	"8.4"
"Neuquen"	"NEUQUÉN AERO"	"Temperatura (°C)"	"23.7"	"22.3"	"18.9"	"13.4"	"9.2"	"6.6"	"5.8"	"8.1"	"11.4"	"15.6"	"19.4"	"22.4"
"Neuquen"	"NEUQUÉN AERO"	"Temperatura máxima (°C)"	"31.9"	"30.6"	"27.0"	"21.6"	"16.5"	"12.9"	"12.9"	"15.9"	"18.9"	"23.2"	"27.1"	"30.2"
"Neuquen"	"NEUQUÉN AERO"	"Temperatura mínima (°C)"	"15.5"	"14.2"	"11.6"	"6.8"	"3.5"	"1.5"	"0.2"	"1.6"	"4.4"	"8.2"	"11.6"	"14.5"
"Neuquen"	"NEUQUÉN AERO"	"Humedad relativa (%)"	"36.7"	"44.0"	"53.4"	"62.2"	"67.7"	"71.7"	"68.5"	"58.7"	"51.1"	"44.3"	"38.3"	"36.1"
"Neuquen"	"NEUQUÉN AERO"	"Velocidad del Viento (km/h)"	"12.8"	"11.3"	"9.9"	"8.8"	"8.3"	"9.3"	"9.5"	"9.7"	"10.3"	"12.8"	"13.9"	"13.8"
"Neuquen"	"NEUQUÉN AERO"	"Nubosidad total (octavos)"	"2.6"	"2.6"	"3.1"	"3.5"	"4.3"	"4.8"	"4.4"	"4.3"	"4.0"	"3.8"	"3.4"	"3.1"
"Neuquen"	"NEUQUÉN AERO"	"Precipitación (mm)"	"12.9"	"11.9"	"23.6"	"15.3"	"21.1"	"23.5"	"15.9"	"11.4"	"19.3"	"20.3"	"14.5"	"11.2"
"Neuquen"	"NEUQUÉN AERO"	"Frecuencia de días con Precipitación superior a 0.1 mm"	"2.7"	"2.6"	"3.5"	"4.9"	"5.5"	"7.1"	"4.9"	"3.9"	"4.6"	"4.1"	"2.9"	"3.0"
"Rio Negro"	"BARILOCHE AERO"	"Temperatura (°C)"	"15.0"	"14.8"	"11.9"	"7.9"	"4.9"	"2.9"	"2.1"	"3.0"	"5.1"	"8.0"	"10.8"	"13.5"
"Rio Negro"	"BARILOCHE AERO"	"Temperatura máxima (°C)"	"22.6"	"23.0"	"19.7"	"14.6"	"10.2"	"6.9"	"6.7"	"8.3"	"11.5"	"14.8"	"17.9"	"20.5"
"Rio Negro"	"BARILOCHE AERO"	"Temperatura mínima (°C)"	"6.6"	"6.3"	"4.7"	"2.3"	"0.6"	"-0.6"	"-1.6"	"-1.1"	"-0.2"	"1.8"	"3.7"	"5.9"
"Rio Negro"	"BARILOCHE AERO"	"Humedad relativa (%)"	"54.1"	"54.8"	"62.4"	"69.8"	"76.4"	"80.2"	"78.9"	"75.9"	"68.2"	"62.5"	"57.7"	"54.9"
"Rio Negro"	"BARILOCHE AERO"	"Velocidad del Viento (km/h)"	"22.9"	"19.8"	"18.3"	"19.1"	"15.9"	"17.9"	"16.6"	"16.8"	"17.1"	"23.4"	"25.4"	"25.2"
"Rio Negro"	"BARILOCHE AERO"	"Nubosidad total (octavos)"	"2.9"	"2.7"	"3.4"	"4.0"	"4.9"	"5.5"	"5.0"	"4.8"	"4.2"	"4.0"	"3.6"	"3.3"
"Rio Negro"	"BARILOCHE AERO"	"Precipitación (mm)"	"20.0"	"15.3"	"35.2"	"58.9"	"130.1"	"170.1"	"122.1"	"101.4"	"56.5"	"49.4"	"29.3"	"23.4"
"Rio Negro"	"BARILOCHE AERO"	"Frecuencia de días con Precipitación superior a 0.1 mm"	"3.7"	"3.4"	"6.7"	"8.2"	"13.6"	"16.1"	"14.0"	"13.0"	"9.1"	"8.3"	"5.4"	"4.6"
"Chubut"	"ESQUEL AERO"	"Temperatura (°C)"	"15.1"	"15.0"	"12.3"	"8.2"	"4.9"	"2.4"	"1.5"	"3.2"	"5.5"	"8.4"	"11.2"	"13.6"
"Chubut"	"ESQUEL AERO"	"Temperatura máxima (°C)"	"21.7"	"22.2"	"19.1"	"14.4"	"10.1"	"6.7"	"6.1"	"8.5"	"11.8"	"14.7"	"17.6"	"19.9"
"Chubut"	"ESQUEL AERO"	"Temperatura mínima (°C)"	"8.2"	"7.7"	"5.5"	"2.7"	"0.5"	"-1.8"	"-2.8"	"-1.4"	"0.0"	"2.3"	"4.7"	"7.0"
"Chubut"	"ESQUEL AERO"	"Humedad relativa (%)"	"48.0"	"50.1"	"56.5"	"63.5"	"72.2"	"76.6"	"75.5"	"70.9"	"62.9"	"55.2"	"50.0"	"48.1"
"Chubut"	"ESQUEL AERO"	"Velocidad del Viento (km/h)"	"23.4"	"20.0"	"17.2"	"17.4"	"14.5"	"15.4"	"14.6"	"14.7"	"15.8"	"20.6"	"23.5"	"23.8"
"Chubut"	"ESQUEL AERO"	"Nubosidad total (octavos)"	"3.3"	"3.0"	"3.5"	"3.8"	"4.4"	"4.7"	"4.5"	"4.3"	"4.1"	"3.9"	"3.7"	"3.6"
"Chubut"	"ESQUEL AERO"	"Precipitación (mm)"	"18.8"	"18.4"	"24.5"	"43.1"	"65.0"	"79.4"	"60.2"	"47.0"	"35.7"	"28.3"	"20.8"	"20.8"
"Chubut"	"ESQUEL AERO"	"Frecuencia de días con Precipitación superior a 0.1 mm"	"3.8"	"3.7"	"5.6"	"7.0"	"9.7"	"11.0"	"9.4"	"9.6"	"7.3"	"6.1"	"4.4"	"4.1"
