Provincia;Estación;Valor Medio de;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
Buenos Aires;JUNÍN AERO;temperatura;23.0;21.7;19.7;15.8;12.4;9.3;8.6;10.7;12.9;16.3;19.4;22.0
Chubut;ESQUEL AERO;temperatura;15.1;15.0;12.3;8.2;4.9;2.4;1.5;3.2;5.5;8.4;11.2;13.6
Corrientes;CORRIENTES AERO;temperatura;27.0;26.0;24.7;21.4;18.0;15.9;15.2;17.0;18.5;21.8;23.7;25.8
Córdoba;CÓRDOBA AERO;temperatura;23.4;22.2;20.7;17.2;13.7;10.7;10.0;12.5;14.9;18.6;20.9;22.9
Entre Ríos;GUALEGUAYCHÚ AERO;temperatura;25.1;23.7;22.0;17.8;14.2;11.3;10.7;12.8;14.7;18.0;20.9;23.4
Jujuy;JUJUY AERO;temperatura;23.6;22.5;21.4;18.3;14.8;12.2;11.9;15.0;17.8;21.7;23.0;23.8
La Pampa;SANTA ROSA AERO;temperatura;23.6;22.1;19.5;14.9;11.0;7.9;7.2;9.5;12.1;15.9;19.4;22.5
Mendoza;SAN RAFAEL AERO;temperatura;23.3;22.0;19.3;14.5;10.5;7.7;6.9;9.0;11.8;16.3;19.6;22.4
Misiones;IGUAZÚ AERO;temperatura;25.6;24.9;24.2;21.4;17.6;15.9;15.7;17.6;19.1;21.9;23.5;25.0
Neuquén;NEUQUÉN AERO;temperatura;23.7;22.3;18.9;13.4;9.2;6.6;5.8;8.1;11.4;15.6;19.4;22.4
Río Negro;BARILOCHE AERO;temperatura;15.0;14.8;11.9;7.9;4.9;2.9;2.1;3.0;5.1;8.0;10.8;13.5
San Juan;SAN JUAN AERO;temperatura;27.1;25.5;22.8;17.2;12.2;8.3;7.7;10.6;14.4;19.8;23.4;26.3
Tucumán;TUCUMÁN AERO;temperatura;25.2;24.0;22.6;19.2;15.7;12.7;12.2;14.9;17.8;21.8;23.4;24.9